課程類別,領域類別,年級,學期,課程,學分,時數
專業必修科目,其他,第一學年,上學期,高等工程數學,3,3
專業必修科目,其他,第一學年,下學期,電路理論,3,3
專業必修科目,其他,第二學年,下學期,專題討論,1,3
專業選修學分,基礎學科,第一學年,上學期,計算機應用,3,3
專業選修學分,基礎學科,第一學年,上學期,計算機程式,3,3
專業選修學分,基礎學科,第一學年,上學期,電路模擬與分析,3,3
專業選修學分,基礎學科,第一學年,上學期,機電能量轉換,3,3
專業選修學分,基礎學科,第一學年,上學期,信號與系統,3,3
專業選修學分,基礎學科,第一學年,下學期,資料結構,3,3
專業選修學分,基礎學科,第一學年,下學期,視窗程式設計,3,3
專業選修學分,基礎學科,第二學年,上學期,工程機率與統計,3,3
專業選修學分,基礎學科,第二學年,上學期,電磁學,3,3
專業選修學分,基礎學科,第二學年,上學期,工程數值方法,3,3
專業選修學分,基礎學科,第二學年,上學期,知識處理系統,3,3
專業選修學分,基礎學科,第二學年,上學期,通訊系統,3,3
專業選修學分,基礎學科,第二學年,上學期,智慧型系統導論,3,3
專業選修學分,基礎學科,第二學年,下學期,人工智慧,3,3
專業選修學分,基礎學科,第二學年,下學期,線性代數,3,3
專業選修學分,基礎學科,第二學年,下學期,複變函數,3,3
專業選修學分,電力,第一學年,上學期,工業配電,3,3
專業選修學分,電力,第一學年,上學期,積體電路應用,3,3
專業選修學分,電力,第一學年,上學期,電機設計,3,3
專業選修學分,電力,第一學年,上學期,傅立葉變換及應用,3,3
專業選修學分,電力,第一學年,上學期,電腦輔助數位電路設計,3,3
專業選修學分,電力,第一學年,上學期,捷運機電,3,3
專業選修學分,電力,第一學年,下學期,能源節約與管理,3,3
專業選修學分,電力,第一學年,下學期,電子電路應用,3,3
專業選修學分,電力,第一學年,下學期,電工材料,3,3
專業選修學分,電力,第一學年,下學期,電力品質,3,3
專業選修學分,電力,第一學年,下學期,電機理論,3,3
專業選修學分,電力,第二學年,上學期,配電系統設計與實務,3,3
專業選修學分,電力,第二學年,上學期,機電能量轉換,3,3
專業選修學分,電力,第二學年,上學期,計算機在電力系統之應用,3,3
專業選修學分,電力,第二學年,上學期,電能與節約管理,3,3
專業選修學分,電力,第二學年,上學期,節能技術分析,3,3
專業選修學分,電力,第二學年,上學期,電力電子學,3,3
專業選修學分,電力,第二學年,上學期,Matlab工程實務應用,3,3
專業選修學分,電力,第二學年,上學期,消防工程,3,3
專業選修學分,電力,第二學年,上學期,專利師培訓課程,3,3
專業選修學分,電力,第二學年,上學期,工程倫理,3,3
專業選修學分,電力,第二學年,上學期,電力系統,3,3
專業選修學分,電力,第二學年,下學期,電力電子電路分析,3,3
專業選修學分,電力,第二學年,下學期,發變電工程,3,3
專業選修學分,電力,第二學年,下學期,電力監控,3,3
專業選修學分,電力,第二學年,下學期,特殊電機,3,3
