課程類別,必選修,領域類別,年級,學期,課程,學分,時數
系專業課程,必修,系共同專業科目,一年級,第一學期,電路學(一),3,3
系專業課程,必修,系共同專業科目,一年級,第二學期,電路學(二),3,3
系專業課程,必修,系共同專業科目,二年級,第一學期,工程數學(一),3,3
系專業課程,必修,系共同專業科目,二年級,第二學期,工程數學(二),3,3
系專業課程,必修,系共同專業科目,三年級,第一學期,電力系統,3,3
系專業課程,必修,系共同專業科目,三年級,第二學期,實務專題(二),1,3
系專業課程,必修,系共同專業科目,一年級,第一學期,邏輯設計,3,3
系專業課程,必修,系共同專業科目,一年級,第二學期,電機機械,3,3
系專業課程,必修,系共同專業科目,二年級,第一學期,電機機械實習,1,3
系專業課程,必修,系共同專業科目,二年級,第二學期,電子學(二),3,3
系專業課程,必修,系共同專業科目,三年級,第一學期,實務專題(一),1,3
系專業課程,必修,系共同專業科目,一年級,第一學期,計算機概論,3,3
系專業課程,必修,系共同專業科目,一年級,第二學期,計算機程式設計,3,3
系專業課程,必修,系共同專業科目,二年級,第一學期,電子學(一),3,3
系專業課程,必修,系共同專業科目,二年級,第二學期,電子學實習(二),1,3
系專業課程,必修,系共同專業科目,一年級,第一學期,微積分(一),3,3
系專業課程,必修,系共同專業科目,一年級,第二學期,微積分(二),3,3
系專業課程,必修,系共同專業科目,二年級,第一學期,電子學實習(一),1,3
系專業課程,必修,系共同專業科目,二年級,第二學期,微處理機,3,3
系專業課程,必修,系共同專業科目,一年級,第一學期,物理(一),3,3
系專業課程,必修,系共同專業科目,一年級,第二學期,物理(二),3,3
系專業課程,必修,系共同專業科目,二年級,第二學期,微處理機實習,1,3
系專業課程,必修,系共同專業科目,一年級,第一學期,電機概論,1,1
系專業課程,必修,領域專業科目,三年級,第一學期,電力電子學,3,3
系專業課程,必修,領域專業科目,三年級,第一學期,自動控制,3,3
系專業課程,必修,領域專業科目,三年級,第一學期,機器學習,3,3
系專業課程,選修,一般領域,一年級,第一學期,物理實驗(一),1,3
系專業課程,選修,一般領域,一年級,第二學期,物理實驗(二),1,3
系專業課程,選修,一般領域,二年級,第一學期,計算機輔助電路分析,3,3
系專業課程,選修,一般領域,二年級,第二學期,專利師培訓課程,3,3
系專業課程,選修,一般領域,三年級,第一學期,線性代數,3,3
