課程類別,必選修,領域類別,年級,學期,課程,學分,時數
專業課程,必修,應修學分數14學分數,一年級,第一學期,專題研討(一),2,2
專業課程,必修,應修學分數14學分數,一年級,第二學期,專題研討(二),2,2
專業課程,必修,應修學分數14學分數,二年級,第一學期,專題研討(三),2,2
專業課程,必修,應修學分數14學分數,二年級,第二學期,專題研討(四),2,2
專業課程,必修,應修學分數14學分數,二年級,第二學期,論文,6,6
專業課程,選修,應修學分數24學分數,一年級,第一學期,科技管理實務應用,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,智慧電網專論,3,3
專業課程,選修,應修學分數24學分數,二年級,第一學期,電力系統最佳控制,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,無線通訊及網路,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,現代電力系統分析,3,3
專業課程,選修,應修學分數24學分數,二年級,第一學期,高速網路,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,最佳化方法,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,雲端與叢集運算,3,3
專業課程,選修,應修學分數24學分數,二年級,第一學期,適應控制,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,資料探勘,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,接取網路專論,3,3
專業課程,選修,應修學分數24學分數,二年級,第一學期,類神經網路應用,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,網路資料庫設計,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,社群網路,3,3
專業課程,選修,應修學分數24學分數,二年級,第一學期,計算機模擬,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,資料倉儲應用,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,無線網路服務品質,3,3
專業課程,選修,應修學分數24學分數,二年級,第一學期,圖形識別,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,電力監控專論,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,非線性控制,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,自動控制專論,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,風能發電專案研究,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,再生能源,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,資訊檢索,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,電力系統運轉,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,保護與協調專論,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,固態電源轉換,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,光電技術與實務,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,基因演算法與應用,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,光學設計,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,電力系統可靠度,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,模糊理論與應用,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,線性系統分析與設計,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,最佳化估算,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,數位控制系統設計,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,重構電力系統運轉,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,高等計算機網路,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,智慧財產權概論,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,光電系統設計專論,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,電力電子學專論,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,電力系統品質分析,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,能源政策,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,光纖通訊專論,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,機器人控制,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,電力品質改善技術專論,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,影像處理,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,再生能源電力轉換介面,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,資料科學與大數據應用,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,科技論文寫作,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,馬達驅動器專論,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,專利專論,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,電能控制與管理,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,分散式系統,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,物聯網專論,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,進階資訊系統設計,3,3
專業課程,選修,應修學分數24學分數,一年級,第二學期,電力資訊整合設計,3,3
專業課程,選修,應修學分數24學分數,一年級,第一學期,適應控制系統,3,3
