課程類別,必選修,領域類別,年級,學期,課程,學分,時數
系專業課程,必修,系專業必修,一年級,第一學期,計算機概論,3,3
系專業課程,必修,系專業必修,一年級,第二學期,計算機程式設計,3,3
系專業課程,必修,系專業必修,二年級,第一學期,工程數學(一),3,3
系專業課程,必修,系專業必修,二年級,第二學期,工程數學(二),3,3
系專業課程,必修,系專業必修,三年級,第一學期,微處理機暨實習,3,4
系專業課程,必修,系專業必修,三年級,第二學期,技術專題(一),1,3
系專業課程,必修,系專業必修,四年級,第一學期,技術專題(二),1,3
系專業課程,必修,系專業必修,一年級,第一學期,電路學(一),3,3
系專業課程,必修,系專業必修,一年級,第二學期,電路學(二),3,3
系專業課程,必修,系專業必修,二年級,第一學期,電機機械,3,3
系專業課程,必修,系專業必修,二年級,第二學期,電機機械實習,1,3
系專業課程,必修,系專業必修,三年級,第二學期,電力系統,3,3
系專業課程,必修,系專業必修,一年級,第一學期,微積分(一),3,3
系專業課程,必修,系專業必修,一年級,第二學期,微積分(二),3,3
系專業課程,必修,系專業必修,二年級,第一學期,電子學(一),3,3
系專業課程,必修,系專業必修,二年級,第二學期,電子學(二),3,3
系專業課程,必修,系專業必修,三年級,第二學期,自動控制,3,3
系專業課程,必修,系專業必修,一年級,第一學期,物理(一),3,3
系專業課程,必修,系專業必修,一年級,第二學期,物理(二),3,3
系專業課程,必修,系專業必修,二年級,第一學期,電子學實習(一),1,3
系專業課程,必修,系專業必修,二年級,第二學期,電子學實習(二),1,3
系專業課程,必修,系專業必修,二年級,第一學期,邏輯設計暨實習,3,4
系專業課程,必修,系專業必修,二年級,第二學期,資料結構,3,3
系專業課程,選修,一般領域,一年級,第一學期,物理實驗(一),1,3
系專業課程,選修,一般領域,一年級,第二學期,物理實驗(二),1,3
系專業課程,選修,一般領域,二年級,第一學期,視窗程式設計,3,3
系專業課程,選修,一般領域,二年級,第二學期,網路資源與應用,3,3
系專業課程,選修,一般領域,三年級,第一學期,線性代數,3,3
系專業課程,選修,一般領域,三年級,第二學期,圖控程式語言,3,3
系專業課程,選修,一般領域,四年級,第一學期,隨機程序,3,3
系專業課程,選修,一般領域,四年級,第二學期,工程科技英文,3,3
系專業課程,選修,一般領域,二年級,第一學期,電腦輔助數位電路設計,3,3
系專業課程,選修,一般領域,三年級,第一學期,計算機應用,3,3
系專業課程,選修,一般領域,三年級,第二學期,微處理機應用,3,3
系專業課程,選修,一般領域,四年級,第一學期,最佳化原理,3,3
系專業課程,選修,一般領域,四年級,第二學期,工程倫理,3,3
系專業課程,選修,一般領域,三年級,第一學期,工程機率與統計,3,3
系專業課程,選修,一般領域,三年級,第二學期,電磁學,3,3
系專業課程,選修,一般領域,四年級,第一學期,工業產品設計,3,3
系專業課程,選修,一般領域,三年級,第一學期,專利師培訓課程,3,3
系專業課程,選修,一般領域,三年級,第一學期,計算機輔助電路分析,3,3
系專業課程,選修,電力領域,二年級,第二學期,電機應用,3,3
系專業課程,選修,電力領域,三年級,第一學期,能源經濟,3,3
系專業課程,選修,電力領域,三年級,第二學期,電能管理,3,3
系專業課程,選修,電力領域,四年級,第一學期,電力系統保護協調,3,3
系專業課程,選修,電力領域,四年級,第二學期,電力監控,3,3
系專業課程,選修,電力領域,三年級,第一學期,積體電路應用,3,3
系專業課程,選修,電力領域,三年級,第二學期,應用電子學,3,3
系專業課程,選修,電力領域,四年級,第一學期,電力系統計算機分析,3,3
系專業課程,選修,電力領域,四年級,第二學期,固態電源供應器,3,3
系專業課程,選修,電力領域,三年級,第一學期,電路理論,3,3
系專業課程,選修,電力領域,三年級,第二學期,電力電子電路分析,3,3
系專業課程,選修,電力領域,四年級,第一學期,電力品質,3,3
系專業課程,選修,電力領域,四年級,第二學期,特殊電機,3,3
系專業課程,選修,電力領域,三年級,第一學期,電力電子學,3,3
系專業課程,選修,電力領域,三年級,第二學期,馬達固態驅動,3,3
系專業課程,選修,電力領域,四年級,第一學期,風能發電系統,3,3
系專業課程,選修,電力領域,四年級,第二學期,綠色電能轉換,3,3
系專業課程,選修,電力領域,三年級,第一學期,工業配電,3,3
系專業課程,選修,電力領域,四年級,第一學期,捷運機電,3,3
系專業課程,選修,電力領域,四年級,第二學期,發變電工程,3,3
系專業課程,選修,電力領域,三年級,第一學期,圖形監控設計,3,3
系專業課程,選修,電力領域,四年級,第二學期,電力潮流分析,3,3
系專業課程,選修,電力領域,四年級,第二學期,電力系統分析,3,3
系專業課程,選修,控制領域,三年級,第一學期,光電工程,3,3
系專業課程,選修,控制領域,三年級,第二學期,線性系統,3,3
系專業課程,選修,控制領域,四年級,第一學期,控制系統設計,3,3
系專業課程,選修,控制領域,四年級,第二學期,伺服控制,,3
系專業課程,選修,控制領域,三年級,第一學期,信號與系統,3,3
系專業課程,選修,控制領域,三年級,第二學期,數位信號處理,3,3
系專業課程,選修,控制領域,四年級,第一學期,光學設計,3,3
系專業課程,選修,控制領域,四年級,第二學期,光電系統設計3/3,,3
系專業課程,選修,控制領域,四年級,第一學期,影像處理,3,3
系專業課程,選修,控制領域,四年級,第二學期,照明設計,3,3
系專業課程,選修,資通領域,二年級,第一學期,電信概論,3,3
系專業課程,選修,資通領域,二年級,第二學期,計算機結構,3,3
系專業課程,選修,資通領域,三年級,第一學期,接取網路技術,3,3
系專業課程,選修,資通領域,三年級,第二學期,無線網路,3,3
系專業課程,選修,資通領域,四年級,第一學期,Linux系統與程式設計,3,3
系專業課程,選修,資通領域,二年級,第二學期,作業系統,3,3
系專業課程,選修,資通領域,三年級,第一學期,計算機網路,3,3
系專業課程,選修,資通領域,三年級,第二學期,通訊系統,3,3
系專業課程,選修,資通領域,四年級,第一學期,嵌入式系統應用程式開發,3,3
系專業課程,選修,資通領域,三年級,第一學期,資料庫系統,3,3
系專業課程,選修,資通領域,三年級,第二學期,物聯網應用,3,3
系專業課程,選修,資通領域,四年級,第一學期,人工智慧,3,3
系專業課程,選修,資通領域,三年級,第一學期,JAVA程式設計,3,3
系專業課程,選修,資通領域,三年級,第二學期,機器學習,3,3
系專業課程,選修,資通領域,四年級,第一學期,資訊安全,3,3
系專業課程,選修,資通領域,三年級,第一學期,Python程式設計,3,3
系專業課程,選修,資通領域,三年級,第二學期,雲端計算概論,3,3
系專業課程,選修,實習,一年級,第一學期,數位電路應用暨實習,3,3
系專業課程,選修,實習,一年級,第二學期,電腦輔助數位電路設計暨實習,3,3
系專業課程,選修,實習,二年級,第一學期,能源資源暨網路實習,3,3
系專業課程,選修,實習,二年級,第二學期,電子電路應用暨實習,3,3
系專業課程,選修,實習,三年級,第一學期,接取網路技術暨實習,3,3
系專業課程,選修,實習,三年級,第二學期,電力系統模擬暨實習,3,3
系專業課程,選修,實習,四年級,第一學期,遠端監控暨實習,3,3
系專業課程,選修,實習,四年級,第二學期,電腦視覺暨實習,3,3
系專業課程,選修,實習,一年級,第一學期,電工儀表暨實習,3,3
系專業課程,選修,實習,二年級,第一學期,光電工程暨實習,3,3
系專業課程,選修,實習,三年級,第一學期,網際網路應用暨實習,3,3
系專業課程,選修,實習,三年級,第二學期,電力電子分析暨實習,3,3
系專業課程,選修,實習,四年級,第一學期,機器人控制暨實習,3,3
系專業課程,選修,實習,四年級,第二學期,影像處理暨實習,3,3
系專業課程,選修,實習,二年級,第一學期,電腦輔助邏輯電路解析暨實習,3,3
系專業課程,選修,實習,三年級,第一學期,順序控制暨實習,3,3
系專業課程,選修,實習,三年級,第二學期,固態轉換器暨實習,3,3
系專業課程,選修,實習,三年級,第一學期,MATLAB工程實務應用暨實習,3,3
系專業課程,選修,實習,三年級,第二學期,積體電路應用暨實習,3,3
